title,description,location,features,date,price
Forselling,"House,fully furnished, rate negotiable .","India, Kerala, Kochi, Varapuzha",4+ BHK - 4+ Bathroom - 2000 sqft,2025-05-15T14:07:17+0000,"₹ 80,00,000"
2BED WITH 2 CAR PARK,"Indulge in Nature's Serenity at Pune Prime Spot. Saheel Properties is dedicated to setting new benchmarks in Pune’s real estate sector. We meticulously anticipate modern lifestyle trends and build communities for joyful families with a forward-thinking approach. The reason our residences stand far ahead in terms of concept and experience is their seamless alignment with a prosperous future. Saheel Itrend Futura Baner NX represents a forward-thinking endeavor aimed at optimizing space utilization and elevating comfort standards in cutting-edge residences. 2 & 3 BHK future ready homes this visionary initiative has introduced groundbreaking concepts such as ‘Convertible Homes’ and layouts designed to minimize wastage, garnering enthusiastic praise from our expanding community of satisfied customers and the broader market. Saheel Itrend Futura Baner NX communities have established serve as models of a stylish and dynamic lifestyle that resonates with the future.  Parking: Basement + Ground + 4 Podium Levels 36 M Wide Road Touch Fully Automated Smart Homes 1+ Acre Vehicular-Free Podium Amenities Showrooms, Shops & Offices at Your Doorstep 1.5 Acres Of Amenities Spa Rooms & Co-Working Spaces in Each Tower 2 Grand Clubhouse 60 Seating Co Working Spaces Highstreet 30 Guest Rooms Digital Classrooms","India, Maharashtra, Pune, Baner",2 Bds - 2 Ba - 1047 ft2,2025-04-21T12:50:18+0000,"₹ 74,69,000"
2 BHK Starting from 70 L in Bavdhan | Prime Area of Bavdhan,"In our daily life, we combat tiring commute and pollution almost every day. And all we long for is to feel fresh, breathe fresh at least at home. With this in mind, we are creating innovative 1 & 2 BHK apartments. These will be carefully designed to increase oxygen levels with the help of plants. And while keeping your home fresh is our aim, we also found a way to make your surrounding even fresher. Coupled with Bavdhan's finest scenic views, we have thoughtfully planned a host of unique amenities that will bring you closer to nature yet keep you connected to the things you love. Come home to freshness, come home to Puraniks Abitante Fiore.  Puranik Builders Limited is a leading real estate company providing comprehensive residential and commercial solutions across various categories. Established in 1990, we have successfully developed over 4.21 Lakh sq.mt over two decades, while over 9.88 Lakh sq.mt. are under construction. Trustworthy Corporation, quality structure, innovative design and concepts, and strict adherence to delivery schedules and budget estimates are our key values. We believe in delivering 'Ideas that stay with you'. Hence, we continuously strive to go beyond mere amenities and deliver something that would be a delight for years together.  *Note:- Mentioned price does not include Govt. charges*","India, Maharashtra, Pune, Bavdhan",2 Bds - 2 Ba - 970 ft2,2025-04-27T07:46:46+0000,"₹ 64,99,999"
2 BHK Flat Sale,"FLAT NO : 103, TYPE - C, 1st FLOOR, BLOCK  AS  PER  BROCHURE  -13 AND AS PER SANCTION PLAN -  5 , AREA - 995 SFT IN ‘ORCHARD ESTATE’","India, West Bengal, Kolkata, Doltala Madhyamgram",2 BHK - 2 Bathroom - 995 sqft,2025-05-17T01:38:24+0000,"₹ 37,00,000"
2Bhk Flat For Sale,2Bhk Flat With Balcony In Your Budget near metro station,"India, Delhi, Delhi, New Ashok Nagar",2 BHK - 2 Bathroom - 550 sqft,2025-05-21T14:41:02+0000,"₹ 32,00,000"
1BHK Affordable Flat in Uttam Nagar Near Metro Station & Main Market,1BHK Flat at affodable price in uttam nagar near metro station & main Market is available for sale at best price. Freehold flat with Registry & UpTo 90% Facility.  Nearby Amenities  School  Hospital  Gym  Park  Market  E-Rickshaw Connectivity  Bus Stop  & More.,"India, Delhi, Delhi, Uttam Nagar",1 BHK - 1 Bathroom - 450 sqft,2025-05-26T05:21:19+0000,"₹ 17,50,000"
ABAD OASIS 3 BHK APARTMENT FOR SALE,"Nestled in one of Kochi’s fastest developing regions, Edappally, ABAD Oasis promises to provide residents with a tranquil and peaceful haven from the hustle and bustle of the city. ABAD Oasis flats in Edappally is Set on 81.61 cents of land & offers 95 units of 2,3 and 4 BHK flats spread over G+18 floors, that beautifully blend style, luxury, and substance. Inspired by the principles of fine living and planned by Kerala's first CRISIL rated builders - ABAD, this apartment complex elevates urban living to a new level. Each apartment unit has been carefully planned so that only one-wall is shared between apartment units. Such ingenuity in our designs enhances the natural ventilation and light in each unit.  With its hi-tech facilities and large living spaces, ABAD Oasis is an ideal choice for home-buyers seeking comfortable quality-living. And for the more astute investors looking to augment their investment returns, the strategic location of ABAD Oasis surrounded by rapidly developing municipalities such as Thrikkakara, that alone secures the value appreciation.","India, Kerala, Kochi, Edappally",3 Bds - 3 Ba - 1670 ft2,2025-04-29T10:57:40+0000,"₹ 1,75,00,000"
3BHK 1100sq Near Kokane Chouk Pimple Saudagar,3BHK 1100sq Near Kokane Chouk Pimple Saudagar,"India, Maharashtra, Pune, Pimple Saudagar",3 BHK - 3 Bathroom - 1400 sqft,2025-05-17T05:17:37+0000,"₹ 1,39,00,000"
“Spacious 2BHK Flat for Sale in,"Property Overview 	•	Type: 2BHK  Apartment 	•	Area: 1340 sq. ft. 	•	Location: Vijay Nagar Colony, Masab Tank, Hyderabad 	•	Key Features: 	•	Bedrooms: 2 	•	Halls: 1 	•	Kitchens: 1 	•	Bathrooms: 3 	•	Balconies: 1        •     Car Parking: 1 dedicated slot 	•	Interior: Luxurious finishes 	•	Floor: Regularized 	•	Advantages: 	•	Prime location on the main road 	•	Close proximity to hospitals and schools    LS Real Estate  We deal in a wide range of properties, including flats, independent houses, plots, and rental options to suit your needs. Whether you’re buying, selling, investing, or renting, we provide reliable and transparent real estate solutions.","India, Telangana, Hyderabad, Vijaya Nagar Colony",2 BHK - 3 Bathroom - 1340 sqft,2025-05-18T10:04:35+0000,"₹ 95,00,000"
Umiya tirth villey,"2 BHK flat for sale – spacious, well-maintained, and in a prime location. Serious buyers only. Contact for details.""","India, Gujarat, Kalol, Pratap Pura Village",2 BHK - 2 Bathroom - 1205 sqft,2025-05-18T12:23:47+0000,"₹ 31,00,000"
30×30 new duplex house for sale JP Nagar,30#30 new duplex house for sale  4 BHK 2 BHK attach bathroom   1 BHK study room   West facing site North fishing door   granite flooring Italian kitchen   100% vastu   pillar construction  lightings fan solar chimney   all teek wood  80% bank loan available   Ring Road 50 m   more than contact Mahesh   more than detail YouTube channel DS property in Mysore,"India, Karnataka, Mysuru, Mysore",4 BHK - 4 Bathroom - 900 sqft,2025-05-22T08:58:08+0000,"₹ 1,50,00,000"
"Close to ശ്രീ കൂടൽമാണിക്യം ക്ഷേത്രം, 3BHK House for sale in Thrissur","Own a Premium 3 BHK House in the Heart of Thrissur!  The project is registered under K-RERA with the registration number K-RERA/PRJ/TSR/131/2023 and belongs to the Gated Community Villas. and it is located in a prime location in Thrissur Town. The plot area is 5-Cent Land, and the build-up area is 1500 Sq. Feet. The construction is currently in progress.  Please call for help as soon as possible Providing Bank loan assistance.","India, Kerala, Irinjalakuda, Tana",3 BHK - 3 Bathroom - 1500 sqft,2025-05-20T12:43:27+0000,"₹ 65,00,000"
Independent house for sale with total land area 3.75 katha,"Individual House with 3.75 katha land and construction of two stories building near Fuljhore, Durgapur","India, West Bengal, Durgapur, Fuljhore",4 BHK - 3 Bathroom - 2700 sqft,2025-05-10T06:27:22+0000,"₹ 76,00,000"
"4.50cents,3bhk furnished Villa@68L mulamthuruthy",4.50 cents 3 bhk attached 1 servant room 1 common toilet Common well water for kitchen Bus stop frontage project Individual compound wall Individual Villa,"India, Kerala, Mulamthuruthy, Karatvatte Kurishu Junction",3 BHK - 4 Bathroom - 1700 sqft,2025-05-17T08:49:25+0000,"₹ 68,00,000"
APARTMENT IN GATED COMMUNITY,"Gouthama Buddha Township, Kadapa","India, Andhra Pradesh, Kadapa, Prakashnagar Colony",2 BHK - 2 Bathroom - 1255 sqft,2025-05-13T12:17:01+0000,"₹ 46,00,000"
NO BROKERAGE NO ANY HIDDEN CHARGES 2BHK SALE AT PRIME LOCATION,"Vihang Luxuria is a luxurious address for an extraordinary lifestyle at Mira Road. The majestic twin towers are artistically designed and offer 1 & 2 BHK apartments with smart workspaces. It also provides a provision for Jodi apartments. The Vastu-compliant homes come with aesthetic interiors and branded sanitary fittings. The homes have expansive layouts providing ventilation and sunlight. The meticulously designed lush landscape offers 30+ curated amenities and open spaces. Experience unparalleled convenience with amenities like a mini theatre, Ganesh Temple, infinity pool, party zone, clubhouse, yoga zone, jogging track, gymnasium, kids’ play area, indoor games, badminton court, rock climbing, box cricket, and more.","India, Maharashtra, Mumbai, Mira Road East",2 BHK - 2 Bathroom - 1020 sqft,2025-05-18T00:59:54+0000,"₹ 88,00,000"
Two 1 bhk east/north facing immediately available,"1bhk available for family, new house, east facing and north facing available. CCTV installed, limited closed car parking based on availability and maintenance, lift facility, rent 15000 and advance 50000.","India, Karnataka, Bengaluru, Gunjur",1 BHK - 1 Bathroom - 600 sqft,2025-05-23T16:18:09+0000,"₹ 15,000"
SPACIOUS 3 BHK IN BYRAMJI TOWN,Ready to move Mint condition Including furniture 3 rooms 3 baths,"India, Maharashtra, Nagpur, Byramji Town",3 Bds - 3 Ba - 1620 ft2,2025-04-27T06:41:27+0000,"₹ 1,38,00,000"
